store,websites,attribute_set,type,category_ids,sku,has_options,upc_code,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,image_label,small_image_label,thumbnail_label,brand,bedding_pattern,priceper,averageweight,price,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,blacknwhite_prcustom,blacknwhite_prtabs,blacknwhite_prrelatedcontent,manufacturer_info,cooking,freezing,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,country_of_manufacture,custom_design,gift_wrapping_available,gift_message_available,color,homeware_style,material,bed_bath_type,decor_type,home_decor_type,blacknwhite_prsku,blacknwhite_prlayout,blacknwhite_prprevnext,blacknwhite_prmoreviews,blacknwhite_prrelated,blacknwhite_relatedpos,blacknwhite_prcolleteral,blacknwhite_productimg,blacknwhite_prbrand,blacknwhite_prbrandlink,blacknwhite_prbrandtarget,blacknwhite_prbrandpos,blacknwhite_prsidebar
admin,base,Grocery,simple,"4,10,41",gro0001,0,6618800870,100% PURE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,,0.17,,,Enabled,No,"Catalog, Search",Taxable Goods,BITTERSWEET CHOCOLATE SQUARES,BITTERSWEET CHOCOLATE SQUARES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,48",gro0002,0,6618800780,100% PURE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,,0.3,,,Enabled,No,"Catalog, Search",Taxable Goods,MILK CHOCOLATE CHIPS,MILK CHOCOLATE CHIPS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,50",gro0003,0,6618800940,100% PURE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,,0.3,,,Enabled,No,"Catalog, Search",Taxable Goods,SEMI-SWEET CHOCOLATE CHIPS,SEMI-SWEET CHOCOLATE CHIPS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,45",gro0004,0,6618800800,100% PURE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,,0.225,,,Enabled,No,"Catalog, Search",Taxable Goods,SEMI-SWEET CHOCOLATE SQUARES,SEMI-SWEET CHOCOLATE SQUARES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,49",gro0005,0,6618800790,100% PURE INDIVIDUALLY WRAPED,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,,0.225,,,Enabled,No,"Catalog, Search",Taxable Goods,SWEET CHOCOLATE SQUARES ,SWEET CHOCOLATE SQUARES ,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE INDIVIDUALLY WRAPED,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,44",gro0006,0,6618800840,100% PURE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,,0.225,,,Enabled,No,"Catalog, Search",Taxable Goods,UNSWEETENED CHOCOLATE SQUARES,UNSWEETENED CHOCOLATE SQUARES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,42",gro0007,0,6618800860,100% PURE,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,BARNUM'S,,,,35.55,,0.17,,,Enabled,No,"Catalog, Search",Taxable Goods,WHITE CHOCOLATE SQUARES,WHITE CHOCOLATE SQUARES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,41",gro0008,0,6672101134,ARROWROOT DINO-BITES ANIMAL CRACKERS,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,BARNUM'S,,,,35.55,,0.225,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,ARROWROOT DINO-BITES ANIMAL CRACKERS,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,48",gro0009,0,6672101160,ARROWROOT ANIMAL CRACKERS GO WILD!,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,BIRD'S,,,,35.55,,0.225,,,Enabled,No,"Catalog, Search",Taxable Goods,BISCUITS,BISCUITS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,ARROWROOT ANIMAL CRACKERS GO WILD!,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
